ascii,word,letter_frequency
740,infirak,"{'a': 1, 'f': 1, 'i': 2, 'k': 1, 'n': 1, 'r': 1}"
740,insicam,"{'a': 1, 'c': 1, 'i': 2, 'm': 1, 'n': 1, 's': 1}"
740,iptidai,"{'a': 1, 'd': 1, 'i': 3, 'p': 1, 't': 1}"
740,itibari,"{'a': 1, 'b': 1, 'i': 3, 'r': 1, 't': 1}"
740,kallavi,"{'a': 2, 'i': 1, 'k': 1, 'l': 2, 'v': 1}"
740,kamelya,"{'a': 2, 'e': 1, 'k': 1, 'l': 1, 'm': 1, 'y': 1}"
740,karadul,"{'a': 2, 'd': 1, 'k': 1, 'l': 1, 'r': 1, 'u': 1}"
740,karavan,"{'a': 3, 'k': 1, 'n': 1, 'r': 1, 'v': 1}"
740,kartela,"{'a': 2, 'e': 1, 'k': 1, 'l': 1, 'r': 1, 't': 1}"
740,kasıt,"{'a': 1, 'k': 1, 's': 1, 't': 1, 'ı': 1}"
740,kayın,"{'a': 1, 'k': 1, 'n': 1, 'y': 1, 'ı': 1}"
740,kazım,"{'a': 1, 'k': 1, 'm': 1, 'z': 1, 'ı': 1}"
740,kekikli,"{'e': 1, 'i': 2, 'k': 3, 'l': 1}"
740,kerahet,"{'a': 1, 'e': 2, 'h': 1, 'k': 1, 'r': 1, 't': 1}"
740,kitabet,"{'a': 1, 'b': 1, 'e': 1, 'i': 1, 'k': 1, 't': 2}"
740,kolajen,"{'a': 1, 'e': 1, 'j': 1, 'k': 1, 'l': 1, 'n': 1, 'o': 1}"
740,kolayca,"{'a': 2, 'c': 1, 'k': 1, 'l': 1, 'o': 1, 'y': 1}"
740,kredili,"{'d': 1, 'e': 1, 'i': 2, 'k': 1, 'l': 1, 'r': 1}"
740,kucakta,"{'a': 2, 'c': 1, 'k': 2, 't': 1, 'u': 1}"
740,kurmaca,"{'a': 2, 'c': 1, 'k': 1, 'm': 1, 'r': 1, 'u': 1}"
740,kızma,"{'a': 1, 'k': 1, 'm': 1, 'z': 1, 'ı': 1}"
740,lehimli,"{'e': 1, 'h': 1, 'i': 2, 'l': 2, 'm': 1}"
740,maranta,"{'a': 3, 'm': 1, 'n': 1, 'r': 1, 't': 1}"
740,mertebe,"{'b': 1, 'e': 3, 'm': 1, 'r': 1, 't': 1}"
740,mezbele,"{'b': 1, 'e': 3, 'l': 1, 'm': 1, 'z': 1}"
740,midilli,"{'d': 1, 'i': 3, 'l': 2, 'm': 1}"
740,midyeci,"{'c': 1, 'd': 1, 'e': 1, 'i': 2, 'm': 1, 'y': 1}"
740,minicik,"{'c': 1, 'i': 3, 'k': 1, 'm': 1, 'n': 1}"
740,muhacim,"{'a': 1, 'c': 1, 'h': 1, 'i': 1, 'm': 2, 'u': 1}"
740,mukataa,"{'a': 3, 'k': 1, 'm': 1, 't': 1, 'u': 1}"
740,mısra,"{'a': 1, 'm': 1, 'r': 1, 's': 1, 'ı': 1}"
740,nazlama,"{'a': 3, 'l': 1, 'm': 1, 'n': 1, 'z': 1}"
740,nefsani,"{'a': 1, 'e': 1, 'f': 1, 'i': 1, 'n': 2, 's': 1}"
740,oyalama,"{'a': 3, 'l': 1, 'm': 1, 'o': 1, 'y': 1}"
740,parasal,"{'a': 3, 'l': 1, 'p': 1, 'r': 1, 's': 1}"
740,patenci,"{'a': 1, 'c': 1, 'e': 1, 'i': 1, 'n': 1, 'p': 1, 't': 1}"
740,peeling,"{'e': 2, 'g': 1, 'i': 1, 'l': 1, 'n': 1, 'p': 1}"
740,pelikan,"{'a': 1, 'e': 1, 'i': 1, 'k': 1, 'l': 1, 'n': 1, 'p': 1}"
740,rantabl,"{'a': 2, 'b': 1, 'l': 1, 'n': 1, 'r': 1, 't': 1}"
740,sabotaj,"{'a': 2, 'b': 1, 'j': 1, 'o': 1, 's': 1, 't': 1}"
740,sadaret,"{'a': 2, 'd': 1, 'e': 1, 'r': 1, 's': 1, 't': 1}"
740,sakıt,"{'a': 1, 'k': 1, 's': 1, 't': 1, 'ı': 1}"
740,sarahat,"{'a': 3, 'h': 1, 'r': 1, 's': 1, 't': 1}"
740,sarım,"{'a': 1, 'm': 1, 'r': 1, 's': 1, 'ı': 1}"
740,sebepli,"{'b': 1, 'e': 2, 'i': 1, 'l': 1, 'p': 1, 's': 1}"
740,sefalet,"{'a': 1, 'e': 2, 'f': 1, 'l': 1, 's': 1, 't': 1}"
740,sırma,"{'a': 1, 'm': 1, 'r': 1, 's': 1, 'ı': 1}"
740,taranma,"{'a': 3, 'm': 1, 'n': 1, 'r': 1, 't': 1}"
740,tedarik,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'k': 1, 'r': 1, 't': 1}"
740,tedrici,"{'c': 1, 'd': 1, 'e': 1, 'i': 2, 'r': 1, 't': 1}"
740,tekiden,"{'d': 1, 'e': 2, 'i': 1, 'k': 1, 'n': 1, 't': 1}"
740,yakın,"{'a': 1, 'k': 1, 'n': 1, 'y': 1, 'ı': 1}"
740,yalım,"{'a': 1, 'l': 1, 'm': 1, 'y': 1, 'ı': 1}"
740,yamanma,"{'a': 3, 'm': 2, 'n': 1, 'y': 1}"
740,yankı,"{'a': 1, 'k': 1, 'n': 1, 'y': 1, 'ı': 1}"
740,yanık,"{'a': 1, 'k': 1, 'n': 1, 'y': 1, 'ı': 1}"
740,yargı,"{'a': 1, 'g': 1, 'r': 1, 'y': 1, 'ı': 1}"
740,yılma,"{'a': 1, 'l': 1, 'm': 1, 'y': 1, 'ı': 1}"
740,zamanla,"{'a': 3, 'l': 1, 'm': 1, 'n': 1, 'z': 1}"
740,zargana,"{'a': 3, 'g': 1, 'n': 1, 'r': 1, 'z': 1}"
740,zilkade,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'k': 1, 'l': 1, 'z': 1}"
740,ıltar,"{'a': 1, 'l': 1, 'r': 1, 't': 1, 'ı': 1}"
740,ıskat,"{'a': 1, 'k': 1, 's': 1, 't': 1, 'ı': 1}"
741,artım,"{'a': 1, 'm': 1, 'r': 1, 't': 1, 'ı': 1}"
741,avantaj,"{'a': 3, 'j': 1, 'n': 1, 't': 1, 'v': 1}"
741,avokado,"{'a': 2, 'd': 1, 'k': 1, 'o': 2, 'v': 1}"
741,bayilik,"{'a': 1, 'b': 1, 'i': 2, 'k': 1, 'l': 1, 'y': 1}"
741,begonya,"{'a': 1, 'b': 1, 'e': 1, 'g': 1, 'n': 1, 'o': 1, 'y': 1}"
741,biletli,"{'b': 1, 'e': 1, 'i': 2, 'l': 2, 't': 1}"
741,binerli,"{'b': 1, 'e': 1, 'i': 2, 'l': 1, 'n': 1, 'r': 1}"
741,boylama,"{'a': 2, 'b': 1, 'l': 1, 'm': 1, 'o': 1, 'y': 1}"
741,buğuz,"{'b': 1, 'u': 2, 'z': 1, 'ğ': 1}"
741,dersiam,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'm': 1, 'r': 1, 's': 1}"
741,deveran,"{'a': 1, 'd': 1, 'e': 2, 'n': 1, 'r': 1, 'v': 1}"
741,didinti,"{'d': 2, 'i': 3, 'n': 1, 't': 1}"
741,dipdiri,"{'d': 2, 'i': 3, 'p': 1, 'r': 1}"
741,dokunca,"{'a': 1, 'c': 1, 'd': 1, 'k': 1, 'n': 1, 'o': 1, 'u': 1}"
741,ekipman,"{'a': 1, 'e': 1, 'i': 1, 'k': 1, 'm': 1, 'n': 1, 'p': 1}"
741,elbette,"{'b': 1, 'e': 3, 'l': 1, 't': 2}"
741,epigram,"{'a': 1, 'e': 1, 'g': 1, 'i': 1, 'm': 1, 'p': 1, 'r': 1}"
741,erkinci,"{'c': 1, 'e': 1, 'i': 2, 'k': 1, 'n': 1, 'r': 1}"
741,ezgince,"{'c': 1, 'e': 2, 'g': 1, 'i': 1, 'n': 1, 'z': 1}"
741,fenerli,"{'e': 2, 'f': 1, 'i': 1, 'l': 1, 'n': 1, 'r': 1}"
741,galerya,"{'a': 2, 'e': 1, 'g': 1, 'l': 1, 'r': 1, 'y': 1}"
741,ganimet,"{'a': 1, 'e': 1, 'g': 1, 'i': 1, 'm': 1, 'n': 1, 't': 1}"
741,gerilme,"{'e': 2, 'g': 1, 'i': 1, 'l': 1, 'm': 1, 'r': 1}"
741,gezegen,"{'e': 3, 'g': 2, 'n': 1, 'z': 1}"
741,halavet,"{'a': 2, 'e': 1, 'h': 1, 'l': 1, 't': 1, 'v': 1}"
741,hayır,"{'a': 1, 'h': 1, 'r': 1, 'y': 1, 'ı': 1}"
741,holding,"{'d': 1, 'g': 1, 'h': 1, 'i': 1, 'l': 1, 'n': 1, 'o': 1}"
741,hoppala,"{'a': 2, 'h': 1, 'l': 1, 'o': 1, 'p': 2}"
741,hovarda,"{'a': 2, 'd': 1, 'h': 1, 'o': 1, 'r': 1, 'v': 1}"
741,hıyar,"{'a': 1, 'h': 1, 'r': 1, 'y': 1, 'ı': 1}"
741,ilenmek,"{'e': 2, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 'n': 1}"
741,inlemek,"{'e': 2, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 'n': 1}"
741,ipileme,"{'e': 2, 'i': 2, 'l': 1, 'm': 1, 'p': 1}"
741,iplicik,"{'c': 1, 'i': 3, 'k': 1, 'l': 1, 'p': 1}"
741,irticai,"{'a': 1, 'c': 1, 'i': 3, 'r': 1, 't': 1}"
741,iteleme,"{'e': 3, 'i': 1, 'l': 1, 'm': 1, 't': 1}"
741,jogging,"{'g': 3, 'i': 1, 'j': 1, 'n': 1, 'o': 1}"
741,kalomel,"{'a': 1, 'e': 1, 'k': 1, 'l': 2, 'm': 1, 'o': 1}"
741,kamufle,"{'a': 1, 'e': 1, 'f': 1, 'k': 1, 'l': 1, 'm': 1, 'u': 1}"
741,karakol,"{'a': 2, 'k': 2, 'l': 1, 'o': 1, 'r': 1}"
741,kepekli,"{'e': 2, 'i': 1, 'k': 2, 'l': 1, 'p': 1}"
741,kerrake,"{'a': 1, 'e': 2, 'k': 2, 'r': 2}"
741,kesimci,"{'c': 1, 'e': 1, 'i': 2, 'k': 1, 'm': 1, 's': 1}"
741,kolayda,"{'a': 2, 'd': 1, 'k': 1, 'l': 1, 'o': 1, 'y': 1}"
741,kombine,"{'b': 1, 'e': 1, 'i': 1, 'k': 1, 'm': 1, 'n': 1, 'o': 1}"
741,kısmi,"{'i': 1, 'k': 1, 'm': 1, 's': 1, 'ı': 1}"
741,kızan,"{'a': 1, 'k': 1, 'n': 1, 'z': 1, 'ı': 1}"
741,lazım,"{'a': 1, 'l': 1, 'm': 1, 'z': 1, 'ı': 1}"
741,letafet,"{'a': 1, 'e': 2, 'f': 1, 'l': 1, 't': 2}"
741,mabeyin,"{'a': 1, 'b': 1, 'e': 1, 'i': 1, 'm': 1, 'n': 1, 'y': 1}"
741,martı,"{'a': 1, 'm': 1, 'r': 1, 't': 1, 'ı': 1}"
741,medrese,"{'d': 1, 'e': 3, 'm': 1, 'r': 1, 's': 1}"
741,megapol,"{'a': 1, 'e': 1, 'g': 1, 'l': 1, 'm': 1, 'o': 1, 'p': 1}"
741,megavat,"{'a': 2, 'e': 1, 'g': 1, 'm': 1, 't': 1, 'v': 1}"
741,melamet,"{'a': 1, 'e': 2, 'l': 1, 'm': 2, 't': 1}"
741,melodik,"{'d': 1, 'e': 1, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 'o': 1}"
741,melunca,"{'a': 1, 'c': 1, 'e': 1, 'l': 1, 'm': 1, 'n': 1, 'u': 1}"
741,menemen,"{'e': 3, 'm': 2, 'n': 2}"
741,modaevi,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'm': 1, 'o': 1, 'v': 1}"
741,muarefe,"{'a': 1, 'e': 2, 'f': 1, 'm': 1, 'r': 1, 'u': 1}"
741,mukabil,"{'a': 1, 'b': 1, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 'u': 1}"
741,nakız,"{'a': 1, 'k': 1, 'n': 1, 'z': 1, 'ı': 1}"
741,nasır,"{'a': 1, 'n': 1, 'r': 1, 's': 1, 'ı': 1}"
741,onanmak,"{'a': 2, 'k': 1, 'm': 1, 'n': 2, 'o': 1}"
741,paylama,"{'a': 3, 'l': 1, 'm': 1, 'p': 1, 'y': 1}"
741,perdeli,"{'d': 1, 'e': 2, 'i': 1, 'l': 1, 'p': 1, 'r': 1}"
741,remilci,"{'c': 1, 'e': 1, 'i': 2, 'l': 1, 'm': 1, 'r': 1}"
741,rondela,"{'a': 1, 'd': 1, 'e': 1, 'l': 1, 'n': 1, 'o': 1, 'r': 1}"
741,saatine,"{'a': 2, 'e': 1, 'i': 1, 'n': 1, 's': 1, 't': 1}"
741,sadakor,"{'a': 2, 'd': 1, 'k': 1, 'o': 1, 'r': 1, 's': 1}"
741,sanrı,"{'a': 1, 'n': 1, 'r': 1, 's': 1, 'ı': 1}"
741,savlama,"{'a': 3, 'l': 1, 'm': 1, 's': 1, 'v': 1}"
741,saygı,"{'a': 1, 'g': 1, 's': 1, 'y': 1, 'ı': 1}"
741,sebzeci,"{'b': 1, 'c': 1, 'e': 2, 'i': 1, 's': 1, 'z': 1}"
741,sıyga,"{'a': 1, 'g': 1, 's': 1, 'y': 1, 'ı': 1}"
741,takkeli,"{'a': 1, 'e': 1, 'i': 1, 'k': 2, 'l': 1, 't': 1}"
741,tamkare,"{'a': 2, 'e': 1, 'k': 1, 'm': 1, 'r': 1, 't': 1}"
741,tarım,"{'a': 1, 'm': 1, 'r': 1, 't': 1, 'ı': 1}"
741,tecimen,"{'c': 1, 'e': 2, 'i': 1, 'm': 1, 'n': 1, 't': 1}"
741,telakki,"{'a': 1, 'e': 1, 'i': 1, 'k': 2, 'l': 1, 't': 1}"
741,telefat,"{'a': 1, 'e': 2, 'f': 1, 'l': 1, 't': 2}"
741,telgraf,"{'a': 1, 'e': 1, 'f': 1, 'g': 1, 'l': 1, 'r': 1, 't': 1}"
741,tepecik,"{'c': 1, 'e': 2, 'i': 1, 'k': 1, 'p': 1, 't': 1}"
741,tımar,"{'a': 1, 'm': 1, 'r': 1, 't': 1, 'ı': 1}"
741,veladet,"{'a': 1, 'd': 1, 'e': 2, 'l': 1, 't': 1, 'v': 1}"
741,verecek,"{'c': 1, 'e': 3, 'k': 1, 'r': 1, 'v': 1}"
741,yalın,"{'a': 1, 'l': 1, 'n': 1, 'y': 1, 'ı': 1}"
741,yanlı,"{'a': 1, 'l': 1, 'n': 1, 'y': 1, 'ı': 1}"
741,yaymaca,"{'a': 3, 'c': 1, 'm': 1, 'y': 2}"
741,yedigen,"{'d': 1, 'e': 2, 'g': 1, 'i': 1, 'n': 1, 'y': 1}"
741,yedinci,"{'c': 1, 'd': 1, 'e': 1, 'i': 2, 'n': 1, 'y': 1}"
741,yılan,"{'a': 1, 'l': 1, 'n': 1, 'y': 1, 'ı': 1}"
741,zalimce,"{'a': 1, 'c': 1, 'e': 1, 'i': 1, 'l': 1, 'm': 1, 'z': 1}"
741,zamlı,"{'a': 1, 'l': 1, 'm': 1, 'z': 1, 'ı': 1}"
742,akvarel,"{'a': 2, 'e': 1, 'k': 1, 'l': 1, 'r': 1, 'v': 1}"
742,allegro,"{'a': 1, 'e': 1, 'g': 1, 'l': 2, 'o': 1, 'r': 1}"
742,ameliye,"{'a': 1, 'e': 2, 'i': 1, 'l': 1, 'm': 1, 'y': 1}"
742,anekdot,"{'a': 1, 'd': 1, 'e': 1, 'k': 1, 'n': 1, 'o': 1, 't': 1}"
742,apartma,"{'a': 3, 'm': 1, 'p': 1, 'r': 1, 't': 1}"
742,arakiye,"{'a': 2, 'e': 1, 'i': 1, 'k': 1, 'r': 1, 'y': 1}"
742,armador,"{'a': 2, 'd': 1, 'm': 1, 'o': 1, 'r': 2}"
742,artın,"{'a': 1, 'n': 1, 'r': 1, 't': 1, 'ı': 1}"
742,astım,"{'a': 1, 'm': 1, 's': 1, 't': 1, 'ı': 1}"
742,atfetme,"{'a': 1, 'e': 2, 'f': 1, 'm': 1, 't': 2}"
742,avlatma,"{'a': 3, 'l': 1, 'm': 1, 't': 1, 'v': 1}"
742,aygıt,"{'a': 1, 'g': 1, 't': 1, 'y': 1, 'ı': 1}"
742,baltrap,"{'a': 2, 'b': 1, 'l': 1, 'p': 1, 'r': 1, 't': 1}"
742,belgeç,"{'b': 1, 'e': 2, 'g': 1, 'l': 1, 'ç': 1}"
742,benzeme,"{'b': 1, 'e': 3, 'm': 1, 'n': 1, 'z': 1}"
742,besinli,"{'b': 1, 'e': 1, 'i': 2, 'l': 1, 'n': 1, 's': 1}"
742,beyhude,"{'b': 1, 'd': 1, 'e': 2, 'h': 1, 'u': 1, 'y': 1}"
742,bezekli,"{'b': 1, 'e': 2, 'i': 1, 'k': 1, 'l': 1, 'z': 1}"
742,bezenme,"{'b': 1, 'e': 3, 'm': 1, 'n': 1, 'z': 1}"
742,bozlama,"{'a': 2, 'b': 1, 'l': 1, 'm': 1, 'o': 1, 'z': 1}"
742,bulatma,"{'a': 2, 'b': 1, 'l': 1, 'm': 1, 't': 1, 'u': 1}"
742,bulgari,"{'a': 1, 'b': 1, 'g': 1, 'i': 1, 'l': 1, 'r': 1, 'u': 1}"
742,burgata,"{'a': 2, 'b': 1, 'g': 1, 'r': 1, 't': 1, 'u': 1}"
742,cesurca,"{'a': 1, 'c': 2, 'e': 1, 'r': 1, 's': 1, 'u': 1}"
742,demirli,"{'d': 1, 'e': 1, 'i': 2, 'l': 1, 'm': 1, 'r': 1}"
742,denetim,"{'d': 1, 'e': 2, 'i': 1, 'm': 1, 'n': 1, 't': 1}"
742,denizci,"{'c': 1, 'd': 1, 'e': 1, 'i': 2, 'n': 1, 'z': 1}"
742,dilinim,"{'d': 1, 'i': 3, 'l': 1, 'm': 1, 'n': 1}"
742,dinamit,"{'a': 1, 'd': 1, 'i': 2, 'm': 1, 'n': 1, 't': 1}"
742,diploma,"{'a': 1, 'd': 1, 'i': 1, 'l': 1, 'm': 1, 'o': 1, 'p': 1}"
742,dirilme,"{'d': 1, 'e': 1, 'i': 2, 'l': 1, 'm': 1, 'r': 1}"
742,ellilik,"{'e': 1, 'i': 2, 'k': 1, 'l': 3}"
742,emirber,"{'b': 1, 'e': 2, 'i': 1, 'm': 1, 'r': 2}"
742,enjekte,"{'e': 3, 'j': 1, 'k': 1, 'n': 1, 't': 1}"
742,epiderm,"{'d': 1, 'e': 2, 'i': 1, 'm': 1, 'p': 1, 'r': 1}"
742,eslemek,"{'e': 3, 'k': 1, 'l': 1, 'm': 1, 's': 1}"
742,eteneli,"{'e': 3, 'i': 1, 'l': 1, 'n': 1, 't': 1}"
742,fezleke,"{'e': 3, 'f': 1, 'k': 1, 'l': 1, 'z': 1}"
742,filvaki,"{'a': 1, 'f': 1, 'i': 2, 'k': 1, 'l': 1, 'v': 1}"
742,fitleme,"{'e': 2, 'f': 1, 'i': 1, 'l': 1, 'm': 1, 't': 1}"
742,fıtri,"{'f': 1, 'i': 1, 'r': 1, 't': 1, 'ı': 1}"
742,garanti,"{'a': 2, 'g': 1, 'i': 1, 'n': 1, 'r': 1, 't': 1}"
742,genelev,"{'e': 3, 'g': 1, 'l': 1, 'n': 1, 'v': 1}"
742,genitif,"{'e': 1, 'f': 1, 'g': 1, 'i': 2, 'n': 1, 't': 1}"
742,grafiti,"{'a': 1, 'f': 1, 'g': 1, 'i': 2, 'r': 1, 't': 1}"
742,hazır,"{'a': 1, 'h': 1, 'r': 1, 'z': 1, 'ı': 1}"
742,helisel,"{'e': 2, 'h': 1, 'i': 1, 'l': 2, 's': 1}"
742,heyelan,"{'a': 1, 'e': 2, 'h': 1, 'l': 1, 'n': 1, 'y': 1}"
742,hızar,"{'a': 1, 'h': 1, 'r': 1, 'z': 1, 'ı': 1}"
742,ikircik,"{'c': 1, 'i': 3, 'k': 2, 'r': 1}"
742,ilaveli,"{'a': 1, 'e': 1, 'i': 2, 'l': 2, 'v': 1}"
742,iltihak,"{'a': 1, 'h': 1, 'i': 2, 'k': 1, 'l': 1, 't': 1}"
742,imgesel,"{'e': 2, 'g': 1, 'i': 1, 'l': 1, 'm': 1, 's': 1}"
742,ishalli,"{'a': 1, 'h': 1, 'i': 2, 'l': 2, 's': 1}"
742,ivedili,"{'d': 1, 'e': 1, 'i': 3, 'l': 1, 'v': 1}"
742,iyicene,"{'c': 1, 'e': 2, 'i': 2, 'n': 1, 'y': 1}"
742,izdiham,"{'a': 1, 'd': 1, 'h': 1, 'i': 2, 'm': 1, 'z': 1}"
742,kalemis,"{'a': 1, 'e': 1, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 's': 1}"
742,kalsemi,"{'a': 1, 'e': 1, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 's': 1}"
742,kangren,"{'a': 1, 'e': 1, 'g': 1, 'k': 1, 'n': 2, 'r': 1}"
742,kapital,"{'a': 2, 'i': 1, 'k': 1, 'l': 1, 'p': 1, 't': 1}"
742,karavel,"{'a': 2, 'e': 1, 'k': 1, 'l': 1, 'r': 1, 'v': 1}"
742,kayıp,"{'a': 1, 'k': 1, 'p': 1, 'y': 1, 'ı': 1}"
742,kazaska,"{'a': 3, 'k': 2, 's': 1, 'z': 1}"
742,kemikli,"{'e': 1, 'i': 2, 'k': 2, 'l': 1, 'm': 1}"
742,keneler,"{'e': 3, 'k': 1, 'l': 1, 'n': 1, 'r': 1}"
742,kesenek,"{'e': 3, 'k': 2, 'n': 1, 's': 1}"
742,kibirli,"{'b': 1, 'i': 3, 'k': 1, 'l': 1, 'r': 1}"
742,kreatif,"{'a': 1, 'e': 1, 'f': 1, 'i': 1, 'k': 1, 'r': 1, 't': 1}"
742,maniple,"{'a': 1, 'e': 1, 'i': 1, 'l': 1, 'm': 1, 'n': 1, 'p': 1}"
742,maskeli,"{'a': 1, 'e': 1, 'i': 1, 'k': 1, 'l': 1, 'm': 1, 's': 1}"
742,mastı,"{'a': 1, 'm': 1, 's': 1, 't': 1, 'ı': 1}"
742,mayın,"{'a': 1, 'm': 1, 'n': 1, 'y': 1, 'ı': 1}"
742,melanet,"{'a': 1, 'e': 2, 'l': 1, 'm': 1, 'n': 1, 't': 1}"
742,mimleme,"{'e': 2, 'i': 1, 'l': 1, 'm': 3}"
742,muahhar,"{'a': 2, 'h': 2, 'm': 1, 'r': 1, 'u': 1}"
742,muamele,"{'a': 1, 'e': 2, 'l': 1, 'm': 2, 'u': 1}"
742,muhalif,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'l': 1, 'm': 1, 'u': 1}"
742,natır,"{'a': 1, 'n': 1, 'r': 1, 't': 1, 'ı': 1}"
742,nazlı,"{'a': 1, 'l': 1, 'n': 1, 'z': 1, 'ı': 1}"
742,nefaset,"{'a': 1, 'e': 2, 'f': 1, 'n': 1, 's': 1, 't': 1}"
742,nefesli,"{'e': 2, 'f': 1, 'i': 1, 'l': 1, 'n': 1, 's': 1}"
742,ofansif,"{'a': 1, 'f': 2, 'i': 1, 'n': 1, 'o': 1, 's': 1}"
742,okramak,"{'a': 2, 'k': 2, 'm': 1, 'o': 1, 'r': 1}"
742,orası,"{'a': 1, 'o': 1, 'r': 1, 's': 1, 'ı': 1}"
742,oyalı,"{'a': 1, 'l': 1, 'o': 1, 'y': 1, 'ı': 1}"
742,puflama,"{'a': 2, 'f': 1, 'l': 1, 'm': 1, 'p': 1, 'u': 1}"
742,reaktif,"{'a': 1, 'e': 1, 'f': 1, 'i': 1, 'k': 1, 'r': 1, 't': 1}"
742,realite,"{'a': 1, 'e': 2, 'i': 1, 'l': 1, 'r': 1, 't': 1}"
742,reddiye,"{'d': 2, 'e': 2, 'i': 1, 'r': 1, 'y': 1}"
742,sakamet,"{'a': 2, 'e': 1, 'k': 1, 'm': 1, 's': 1, 't': 1}"
742,sanidin,"{'a': 1, 'd': 1, 'i': 2, 'n': 2, 's': 1}"
742,saparna,"{'a': 3, 'n': 1, 'p': 1, 'r': 1, 's': 1}"
742,satım,"{'a': 1, 'm': 1, 's': 1, 't': 1, 'ı': 1}"
742,sedyeci,"{'c': 1, 'd': 1, 'e': 2, 'i': 1, 's': 1, 'y': 1}"
742,sekinci,"{'c': 1, 'e': 1, 'i': 2, 'k': 1, 'n': 1, 's': 1}"
742,sergici,"{'c': 1, 'e': 1, 'g': 1, 'i': 2, 'r': 1, 's': 1}"
742,silmeci,"{'c': 1, 'e': 1, 'i': 2, 'l': 1, 'm': 1, 's': 1}"
742,sormaca,"{'a': 2, 'c': 1, 'm': 1, 'o': 1, 'r': 1, 's': 1}"
742,sıtma,"{'a': 1, 'm': 1, 's': 1, 't': 1, 'ı': 1}"
742,takribi,"{'a': 1, 'b': 1, 'i': 2, 'k': 1, 'r': 1, 't': 1}"
742,tanrı,"{'a': 1, 'n': 1, 'r': 1, 't': 1, 'ı': 1}"
742,tasım,"{'a': 1, 'm': 1, 's': 1, 't': 1, 'ı': 1}"
742,tatlı,"{'a': 1, 'l': 1, 't': 2, 'ı': 1}"
742,tavlama,"{'a': 3, 'l': 1, 'm': 1, 't': 1, 'v': 1}"
742,tefarik,"{'a': 1, 'e': 1, 'f': 1, 'i': 1, 'k': 1, 'r': 1, 't': 1}"
742,tefrika,"{'a': 1, 'e': 1, 'f': 1, 'i': 1, 'k': 1, 'r': 1, 't': 1}"
742,teganni,"{'a': 1, 'e': 1, 'g': 1, 'i': 1, 'n': 2, 't': 1}"
742,tehlike,"{'e': 2, 'h': 1, 'i': 1, 'k': 1, 'l': 1, 't': 1}"
742,tencere,"{'c': 1, 'e': 3, 'n': 1, 'r': 1, 't': 1}"
742,vadetme,"{'a': 1, 'd': 1, 'e': 2, 'm': 1, 't': 1, 'v': 1}"
742,vahamet,"{'a': 2, 'e': 1, 'h': 1, 'm': 1, 't': 1, 'v': 1}"
742,yakarma,"{'a': 3, 'k': 1, 'm': 1, 'r': 1, 'y': 1}"
742,yapık,"{'a': 1, 'k': 1, 'p': 1, 'y': 1, 'ı': 1}"
742,yaramak,"{'a': 3, 'k': 1, 'm': 1, 'r': 1, 'y': 1}"
742,zanlı,"{'a': 1, 'l': 1, 'n': 1, 'z': 1, 'ı': 1}"
743,acizlik,"{'a': 1, 'c': 1, 'i': 2, 'k': 1, 'l': 1, 'z': 1}"
743,akrilik,"{'a': 1, 'i': 2, 'k': 2, 'l': 1, 'r': 1}"
743,aldanç,"{'a': 2, 'd': 1, 'l': 1, 'n': 1, 'ç': 1}"
743,alkolik,"{'a': 1, 'i': 1, 'k': 2, 'l': 2, 'o': 1}"
743,alperen,"{'a': 1, 'e': 2, 'l': 1, 'n': 1, 'p': 1, 'r': 1}"
743,arkegon,"{'a': 1, 'e': 1, 'g': 1, 'k': 1, 'n': 1, 'o': 1, 'r': 1}"
743,arızi,"{'a': 1, 'i': 1, 'r': 1, 'z': 1, 'ı': 1}"
743,baritli,"{'a': 1, 'b': 1, 'i': 2, 'l': 1, 'r': 1, 't': 1}"
743,bazofil,"{'a': 1, 'b': 1, 'f': 1, 'i': 1, 'l': 1, 'o': 1, 'z': 1}"
743,bireyci,"{'b': 1, 'c': 1, 'e': 1, 'i': 2, 'r': 1, 'y': 1}"
743,birikim,"{'b': 1, 'i': 3, 'k': 1, 'm': 1, 'r': 1}"
743,boyanma,"{'a': 2, 'b': 1, 'm': 1, 'n': 1, 'o': 1, 'y': 1}"
743,cereyan,"{'a': 1, 'c': 1, 'e': 2, 'n': 1, 'r': 1, 'y': 1}"
743,cesaret,"{'a': 1, 'c': 1, 'e': 2, 'r': 1, 's': 1, 't': 1}"
743,cezaevi,"{'a': 1, 'c': 1, 'e': 2, 'i': 1, 'v': 1, 'z': 1}"
743,difteri,"{'d': 1, 'e': 1, 'f': 1, 'i': 2, 'r': 1, 't': 1}"
